              Vardas             Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
             Vardas1            Pavarde1         7         8         6         1         7         6
             Vardas2            Pavarde2         1         6         6         2         7         7
             Vardas3            Pavarde3         9         9         8         2         2         3
             Vardas4            Pavarde4         7         1         2         1         4        10
             Vardas5            Pavarde5         8         1         2         4         8         5
             Vardas6            Pavarde6         6         1         1         4        10         6
             Vardas7            Pavarde7         8         3         4        10         3         6
             Vardas8            Pavarde8         8         5         8        10         5         2
             Vardas9            Pavarde9         4         6         6         6         2         4
            Vardas10           Pavarde10        10         3         1         5         2         9
            Vardas11           Pavarde11         4         1         5         5         5         5
            Vardas12           Pavarde12         8         9         3         8         9         4
            Vardas13           Pavarde13        10         8         9         5         2         9
            Vardas14           Pavarde14        10         2         5         2        10         7
            Vardas15           Pavarde15         7        10         5         9         7         9
            Vardas16           Pavarde16         4         3         6         1         4         7
            Vardas17           Pavarde17         7         6         8         4         2         1
            Vardas18           Pavarde18         5         5         1         4         6         6
            Vardas19           Pavarde19         1        10         3         5         1        10
            Vardas20           Pavarde20         8         3         3         2         1         5
            Vardas21           Pavarde21         2         1         5         8        10         8
            Vardas22           Pavarde22         8         6         7         7         7         7
            Vardas23           Pavarde23         2         1         5         2         5         9
            Vardas24           Pavarde24         8         4         6         4         2         8
            Vardas25           Pavarde25         9        10         1         2         1         9
            Vardas26           Pavarde26         7         4         6         6         3         1
            Vardas27           Pavarde27         4        10         4         4        10         9
            Vardas28           Pavarde28         4         8         6        10         4         3
            Vardas29           Pavarde29         9         5         6         2         5         3
            Vardas30           Pavarde30         2         1         9         5         7        10
            Vardas31           Pavarde31         2        10        10         5         5         6
            Vardas32           Pavarde32         6        10         5         6         8         7
            Vardas33           Pavarde33         2         3         6         7         1        10
            Vardas34           Pavarde34         2         3         3        10         1         7
            Vardas35           Pavarde35         5         7         3         2         6         2
            Vardas36           Pavarde36         6         5         9         9         8         7
            Vardas37           Pavarde37         7         1         1        10         1         8
            Vardas38           Pavarde38         2         8         2         3         6         8
            Vardas39           Pavarde39        10         1         7         8         2         6
            Vardas40           Pavarde40        10         7         2         2         9         3
            Vardas41           Pavarde41         1         3         7         2        10         3
            Vardas42           Pavarde42         8         7         7         4         2         2
            Vardas43           Pavarde43         2         8         5         6        10         6
            Vardas44           Pavarde44         2         5        10         6         3         4
            Vardas45           Pavarde45         2         7         8         5         6         3
            Vardas46           Pavarde46         9         4         2         5         7         9
            Vardas47           Pavarde47         1         7         8         8         3         8
            Vardas48           Pavarde48         2         3        10         8         1         3
            Vardas49           Pavarde49         6        10         2        10         9         8
            Vardas50           Pavarde50         4         1         3         3         9         6
            Vardas51           Pavarde51         6         8         6         6         9         5
            Vardas52           Pavarde52         2         5         1         5         5         9
            Vardas53           Pavarde53         2         3         6         4         2         6
            Vardas54           Pavarde54         6         4         8         4         6         2
            Vardas55           Pavarde55         3         5         7        10         1         1
            Vardas56           Pavarde56        10        10         7         2         9         2
            Vardas57           Pavarde57         7         5         3         8        10         2
            Vardas58           Pavarde58        10        10         2         5         1         9
            Vardas59           Pavarde59         6         3         7         3         1         6
            Vardas60           Pavarde60         5         1         5         9         9         3
            Vardas61           Pavarde61         7         6         9         7        10         6
            Vardas62           Pavarde62         4         7         4         8         4         5
            Vardas63           Pavarde63         3         3         9         7         5         2
            Vardas64           Pavarde64         9         5         1         3         1        10
            Vardas65           Pavarde65         2         6        10         4         3         1
            Vardas66           Pavarde66         7         5         2         4         5         5
            Vardas67           Pavarde67         4         3         9         5         7         1
            Vardas68           Pavarde68         8         9         6         2         6         2
            Vardas69           Pavarde69         4        10         4         7         6         4
            Vardas70           Pavarde70         6         8         8         2         4         7
            Vardas71           Pavarde71         2         9         7         5        10         7
            Vardas72           Pavarde72         6        10         6         6         6        10
            Vardas73           Pavarde73         2         2         8         8         2         1
            Vardas74           Pavarde74         1         7         7         8         6         6
            Vardas75           Pavarde75         2         9         1         4         7         7
            Vardas76           Pavarde76        10        10        10         8         1         9
            Vardas77           Pavarde77         3        10         6         3         7         4
            Vardas78           Pavarde78        10         5         6         8         2         4
            Vardas79           Pavarde79         9         5         9         3         8         1
            Vardas80           Pavarde80         1         2         7         6         5         5
            Vardas81           Pavarde81         1         5        10         5         2         5
            Vardas82           Pavarde82         6        10         4         8         4         9
            Vardas83           Pavarde83         4         6         3         3        10         5
            Vardas84           Pavarde84         9         8         7         6         1         2
            Vardas85           Pavarde85         5         7         2         5         5         5
            Vardas86           Pavarde86         8         7        10         3         6         5
            Vardas87           Pavarde87         7         3         3        10         7         4
            Vardas88           Pavarde88         3         9         8         8         3         7
            Vardas89           Pavarde89         1         5         2         8         2         7
            Vardas90           Pavarde90         2         9         4         7         1        10
            Vardas91           Pavarde91         7         3        10         9         2         6
            Vardas92           Pavarde92         4         4         4         8         5         7
            Vardas93           Pavarde93         5        10         6         6         6         2
            Vardas94           Pavarde94         9         4         5        10         4         5
            Vardas95           Pavarde95         5         9         7         3         8         2
            Vardas96           Pavarde96         5         7        10         2        10         8
            Vardas97           Pavarde97         4         7         1         6        10         9
            Vardas98           Pavarde98         2         6         1         8         1         8
            Vardas99           Pavarde99         2         2         6         5         9         7
           Vardas100          Pavarde100         9         8         3        10         7         5
           Vardas101          Pavarde101         3         8         3         8         6         4
           Vardas102          Pavarde102         7         9         6         4         6         7
           Vardas103          Pavarde103         9         5         3         6         6         8
           Vardas104          Pavarde104         4        10        10         5         1         8
           Vardas105          Pavarde105         2         1         8         4        10         2
           Vardas106          Pavarde106         9         2         9         1         3         1
           Vardas107          Pavarde107         1         8         8         7         6         7
           Vardas108          Pavarde108         4         7         9        10         4         2
           Vardas109          Pavarde109         4         8         6         6         6         2
           Vardas110          Pavarde110         6         2         8         3        10         8
           Vardas111          Pavarde111         8         9         2         4         1         1
           Vardas112          Pavarde112         5         5         6         8         4         9
           Vardas113          Pavarde113         6         5         2         2         4        10
           Vardas114          Pavarde114         8         9         8         5        10         2
           Vardas115          Pavarde115         2         6         3        10         2        10
           Vardas116          Pavarde116         6         2         8         5         5         8
           Vardas117          Pavarde117         8        10         7         3         2         8
           Vardas118          Pavarde118         9         1         9        10         6         1
           Vardas119          Pavarde119         9         2         1         5         4         3
           Vardas120          Pavarde120         8         1         9         7         5         2
           Vardas121          Pavarde121         5        10         2        10         8         6
           Vardas122          Pavarde122         9         2        10         7         1         9
           Vardas123          Pavarde123         7         3         8         8         2        10
           Vardas124          Pavarde124         5         6         9         8         4         6
           Vardas125          Pavarde125         6         9         5        10         2         1
           Vardas126          Pavarde126         7         1         3         3         8         8
